topic,group,author_id
Space Jam,00100,1
Indiana Pacers,00100,1
Tropic Thunder,00100,3
David Banner,00100,2
Dyckman Basketball Tournament,00100,1
Dennis Rodman,00100,3
Who Shot Ya?,00100,1
Tony Hawk's,00100,2
The Roots,00100,2
One Call Away,00100,2
Santana,00100,4
Lightsaber,00100,17
Ditto,00100,1
Derek Carr,00100,2
Atrévete-te-te,00100,1
Toyota Matrix,00100,1
Everywhere,00100,2
Fox Sports 1,00100,1
Syn Cole,00100,3
JaVale McGee,00100,2
MMMBop,00100,1
Sublime,00100,3
I'm Gonna Be Alright,00100,1
Magic & Bird: A Courtship of Rivals,00100,1
Dominoes,00100,2
Hall Pass,00100,1
Paul George,00100,1
Silento,00100,8
Everyday Struggle,00100,2
Seth Curry,00100,1
David Carr,00100,1
Reggie Miller,00100,2
Max Kellerman,00100,1
Tony Romo,00100,3
HBO World Championship Boxing,00100,3
I Wonder,00100,1
USA Basketball,00100,1
Los Angeles Lakers,00100,5
Charles Oakley,00100,1
Death knight,00100,2
Chris Bosh,00100,2
Red giant,00100,1
Jay Ant,00100,2
Larry Bird,00100,2
Bottom girl,00100,1
Thug Cry,00100,1
Jason Whitlock,00100,1
Dak Prescott,00100,6
Abomination,00100,1
Women Aren't Funny,00100,1
Young Dolph,00100,7
Jenny from the Block,00100,1
Hold You Down,00100,1
Charlie Zaa,00100,1
Truffle Butter,00100,2
Snowcat,00100,6
Shake Your Bon-Bon,00100,1
1992 NBA Finals,00100,1
Still Not a Player,00100,1
Rajiv Dhall,00100,4
MMMbop,00100,1
Makua Rothman,00100,1
21 Questions (feat. Nate Dogg),00100,1
Jay Cutler,00100,6
Dallas Cowboys,00100,9
First Take,00100,10
Austin Rivers,00100,1
Brachistochrone curve,00100,1
Hip hop music,00100,23
John Saunders,00100,1
Panic! at the Disco,00100,11
Hanson,00100,1
Sweet Victory,00100,1
Free throw,00100,1
Kyle Korver,00100,2
Juelz Santana,00100,1
Josh Norman,00100,4
Through the Wire,00100,1
NBA Slam Dunk Contest,00100,2
They,00100,1
Clique,00100,2
Klay Thompson,00100,4
Russell Westbrook,00100,4
Flashing Lights,00100,1
Miente,00100,1
ESPY Award,00100,1
Real Madrid C.F.,00100,5
Colombia national football team,00100,1
Wicked Games,00100,3
Jessie Vargas,00100,1
Rajon Rondo,00100,3
My Boo,00100,6
Pobre Diabla,00100,1
Oh Yes,00100,1
Metta World Peace,00100,3
FutureSex/LoveSounds,00100,1
Method Man,00100,3
Get Right,00100,1
Valió la pena,00100,1
Dana White,00100,2
That's Nasty,00100,1
The Offspring,00100,10
Manny Pacquiao,00100,10
Big Pun,00100,2
Blake Griffin,00100,4
Dirk Nowitzki,00100,1
Richard Sherman,00100,3
Shannon Sharpe,00100,3
Ghost Town DJ’s,00100,5
Rondando tu esquina,00100,1
ESPN Radio,00100,2
Spider-Man,00100,18
Victory,00100,2
Piano tuning,00100,1
Milana Vayntrub,00100,3
Quicksilver,00100,2
Far Alone,00100,2
Rapperswil-Jona Lakers,00100,1
DeMar DeRozan,00100,1
The Climate Reality Project,00100,1
Floyd Mayweather vs. Juan Manuel Marquez,00100,1
Hard Knock Life,00100,1
Robert Parish,00100,1
Fuck tha Bullshit,00100,1
World of Warcraft: Cataclysm,00100,2
Low-carbohydrate diet,00100,3
Magic Johnson,00100,1
100%,00100,1
Infidelity,00100,14
Chicago Bulls,00100,3
"Bitch, Don't Kill My Vibe",00100,2
Unbelievable,00100,2
Ratchet,00100,3
Justice,00100,2
Let's Get Lost,00100,3
Tony Hawk's Pro Skater 2,00100,1
Carmelo Anthony,00100,3
Toxicity,00100,1
Royal Veterinary College,00100,1
Andrew Keegan,00100,1
David Beckham,00100,2
2014 Forest Hills Drive,00100,4
Frontin',00100,1
The Herd with Colin Cowherd,00100,2
FutureSex/LoveSound,00100,1
Boston Celtics,00100,2
Skip Bayless,00100,8
High Road,00100,1
Player versus player,00100,4
Michael Beasley,00100,1
Craig Sager,00100,3
Make Way (feat. Fat Joe & Lil Wayne),00100,1
Travie McCoy,00100,1
Kenny Smith,00100,2
Shaqtin' a Fool,00100,4
Nike Academy,00100,1
Togepi,00100,1
Gregg Popovich,00100,4
BlizzCon,00100,5
Oklahoma City Thunder,00100,1
M.I.A.M.I,00100,1
Växjö Lakers,00100,1
Otherside,00100,2
Friday the 13th: Day of Death,00100,2
Can't Tell Me Nothing,00100,2
Saving,00100,15
21 Questions,00100,1
Andre Iguodala,00100,1
Nate Robinson,00100,2
Maria,00100,4
Karl Towns,00100,1
Naismith Memorial Basketball Hall of Fame,00100,1
"Bitch, Don’t Kill My Vibe",00100,2
Chingy,00100,3
Allen Iverson,00100,2
Eevee,00100,1
Draymond Green,00100,2
Testosterone,00100,5
"There’s a Good Reason These Tables Are Numbered Honey, You Just Haven’t Thought of It Yet",00100,1
Amanda Nunes,00100,4
"Floyd Mayweather, Jr.",00100,14
Sith,00100,5
The What,00100,1
Derrick Rose,00100,6
Otis,00100,1
Nerf Blaster,00100,2
Jason Day,00100,1
