,count,topic
0,34134,US Marines
1,29547,United States Navy
2,26818,Military
3,26370,United States Navy SEALs
4,24424,Soldier
5,23976,United States Air Force
6,23483,Recruit training
7,23237,United States Army
8,22009,United States Marine Corps Recruit Training
9,21735,Drill instructor
10,21483,Army
11,21180,Special Forces
12,20971,United States Marine Corps Force Reconnaissance
13,18597,Practical joke
14,18360,Physical exercise
15,18337,Trailer
16,18333,Special forces
17,18121,Donald Trump
18,17450,Sniper
19,17426,United States Marine Corps Forces Special Operations Command
20,17271,Firearm
21,17184,United States Navy SEAL selection and training
22,16855,War
23,16852,United States Army Rangers
24,16605,Military cadence
25,16590,Stolen Valor Act of 2013
26,16315,Film
27,16144,Marine Corps Recruit Depot Parris Island
28,16126,United States Armed Forces
29,15799,United States Army Basic Training
30,15441,Don Shipley
31,15037,Shooting
32,14741,Medal of Honor
33,14733,Veteran
34,14248,Video blog
35,14189,Helicopter
36,14166,Police
37,13843,Dog
38,13650,Lyrics
39,13500,Bodybuilding
40,13490,United States Marine Corps School of Infantry
41,13369,Call of Duty
42,13359,Motivation
43,13231,Star Wars
44,13212,Barack Obama
45,13190,Infantry
46,12971,United States Air Force Basic Military Training
47,12838,Battlefield
48,12752,Marines
49,12738,Police officer
50,12694,Tank
51,12653,Rifle
52,12330,Lockheed Martin F-35 Lightning II
53,12225,Music
54,12116,World War II
55,12098,Gun
56,12088,Lone Survivor
57,12044,United States Military Entrance Processing Command
58,12013,United States Coast Guard
59,11981,Airsoft
60,11923,Aircraft
61,11922,Marcus Luttrell
62,11902,Grand Theft Auto V
63,11851,Combat
64,11787,Marine Corps Recruit Depot San Diego
65,11787,Car
66,11744,Afghanistan
67,11696,Documentary
68,11642,Aircraft carrier
69,11616,Islamic State of Iraq and the Levant
70,11551,Airborne forces
71,11529,Grand Theft Auto
72,11513,American football
73,11472,Chris Kyle
74,11448,United States Marine Corps Scout Sniper
75,11430,Star Wars Episode VII
76,11209,Marine Raiders
77,11161,Parachuting
78,11095,Video game
79,11014,United States Air Force Pararescue
